id,first_name,last_name,email,phone,city,age,gender,segment,joined_date
8d4fd95f-8f7c-4561-aadd-f9dfa5aaccec,Constance,Ledoux,isaacblanchet@example.com,02 49 30 08 26,Nantes,20,F,Inactif,2025-07-15
497f97ec-a78b-4734-bc17-a0b06e2393d7,Laurent,Benoit,aimebazin@example.org,+33 3 65 00 70 72,Lille,56,M,Nouveau,2025-08-02
8ba2c5c5-c4aa-454a-b383-fe1c7e018ebe,Antoinette,Gros,veroniquesanchez@example.org,04 20 30 48 88,Reims,68,F,Standard,2025-02-23
91b72496-ffa3-4042-a17d-e267158ca8cd,Édith,Payet,ssimon@example.org,+33 (0)4 37 35 80 92,Nantes,71,F,Nouveau,2026-07-17
ba53a5b2-7bf9-4b98-97d5-ccdbf53cb730,Jérôme,Dumont,rlejeune@example.net,+33 5 58 18 61 68,Angers,35,M,Standard,2025-12-12
2b463265-6498-4585-a990-27d8116f1a9f,Édith,Descamps,thierrycollin@example.net,+33 4 70 52 31 13,Montpellier,42,F,Inactif,2025-08-24
e9e5ffd4-9501-4029-bd6f-7b0120132eef,Joseph,Picard,josettebreton@example.org,04 57 90 73 30,Marseille,18,M,Inactif,2025-08-02
06b3f60c-058d-4ac7-9101-e79f3902f86c,Stéphane,Chevalier,josephdiallo@example.org,04 67 95 15 26,Nice,72,M,Standard,2026-06-08
5397e6f9-db00-43c0-acc4-7028403ae9f6,Luc,Perrier,kbigot@example.com,+33 (0)6 11 99 01 35,Grenoble,74,M,Premium,2026-09-07
fb86f54e-92d4-4290-99a0-92a205d96f7e,Alphonse,Huet,alexandriejacquot@example.com,+33 (0)2 78 90 64 52,Brest,55,M,Standard,2024-11-24
535323df-0b30-4da7-92e4-66af1414bae3,Alexandrie,Legrand,jraymond@example.com,+33 2 36 04 45 15,Toulouse,41,F,Inactif,2025-08-17
26d76a2e-483f-47fc-94d0-c67cbe6fbe50,Laurent,Rolland,dupuismichelle@example.com,+33 (0)4 71 12 45 33,Toulon,54,M,Inactif,2025-03-12
f39d97d1-91d5-4434-ac68-c135143d7576,Louise,Hoareau,zmahe@example.net,+33 (0)4 76 15 63 35,Marseille,69,F,Premium,2024-10-29
05eff803-c549-4d56-8516-c005163bc6ce,Victor,Tanguy,clemencejacob@example.com,+33 (0)5 19 53 59 61,Toulon,22,M,Inactif,2026-03-06
c5b72e55-e0ec-4dc9-b405-a7cfcdf7d1f0,Corinne,Berthelot,margaux38@example.net,+33 3 86 10 28 87,Dijon,22,F,Fidele,2025-11-07
7045ade5-127f-43c2-ae13-ab92c7b8954b,Lucy,Carpentier,bgauthier@example.net,+33 6 34 42 21 94,Paris,77,F,Inactif,2026-09-01
d2a147ec-87c2-48eb-9031-8a7b746b3a3b,Margot,Loiseau,wtorres@example.com,01 42 81 19 26,Brest,21,F,Inactif,2024-12-28
c3305ee5-56f1-40b3-9170-59b58fe733b8,Claudine,Chrétien,patrick42@example.org,+33 (0)5 31 33 12 48,Brest,62,F,Nouveau,2026-09-06
7b37d780-3426-45d3-9dd4-526b8ff239e2,Alfred,Lemaire,rbenoit@example.net,+33 4 85 87 95 23,Strasbourg,60,M,Standard,2024-12-14
37c360bb-7187-420d-9e1c-afa07104dc34,Chantal,Nguyen,noemi91@example.com,02 90 31 13 36,Angers,29,F,Fidele,2025-11-07
b40e1ed2-8f22-47ca-8f78-9b713576b1cf,Honoré,Bigot,alain42@example.com,05 40 46 13 69,Bordeaux,76,M,Inactif,2025-01-31
fa19a288-b2db-4cae-89f1-32f430ba1376,Sabine,Lévy,rlecoq@example.org,+33 5 16 41 67 73,Grenoble,19,F,Inactif,2024-10-12
7ae88512-b564-42d6-bd63-9e71e4482b22,Victor,Hoareau,andreecolas@example.com,+33 (0)5 54 16 25 07,Bordeaux,33,M,Inactif,2026-08-02
164ef820-2f2c-4218-a157-55299cd2439a,Agnès,Vidal,valerieleclerc@example.net,06 46 97 64 12,Lille,73,F,Standard,2024-11-10
6eed4190-d85c-4e69-baab-31e33c300e6a,Geneviève,Louis,thibaut62@example.com,06 20 04 75 63,Angers,61,F,Premium,2024-11-03
8cb75032-3403-4a3c-bef1-7270ba2964a8,Louise,Bègue,vincent22@example.org,+33 (0)3 29 82 13 22,Toulouse,78,F,Premium,2025-07-10
a9915adb-6584-4667-921b-163dc1cbc38a,Vincent,Renard,eboulay@example.com,0434896789,Nantes,39,M,Premium,2025-08-30
db09975f-c2ad-4ec8-ae35-a0cfa2c71e8c,Corinne,Fischer,eric38@example.net,+33 (0)4 63 76 47 90,Grenoble,29,F,Premium,2026-03-02
adaa3468-cae7-4dee-a567-8aa2038a02d6,Laurent,Julien,lbouchet@example.com,+33 (0)2 44 82 15 52,Paris,22,M,Inactif,2025-10-30
d6e7450f-1a0c-4db7-aa7a-8b88caca710a,Xavier,Da Costa,jacqueline04@example.com,+33 1 44 31 86 36,Lille,18,M,Inactif,2026-04-14
1f01f874-9675-4407-a020-2417c005632b,Manon,Delattre,hcaron@example.net,+33 7 93 00 06 34,Strasbourg,32,F,Inactif,2025-06-01
bfd7a2cb-4652-433e-ada5-8330ade8d905,Adrien,Garnier,alphonseevrard@example.org,02 35 37 53 33,Nantes,25,M,Standard,2024-10-22
44f1d1c6-f801-458c-b73d-d35eb50bd817,Robert,Pages,reynaudconstance@example.net,03 25 33 63 07,Montpellier,45,M,Premium,2024-12-11
c83988fd-ab37-4415-86c9-3a7a0bf5ec8b,Audrey,Simon,lucas24@example.org,+33 (0)6 67 93 51 52,Marseille,50,F,Fidele,2025-02-03
fd09359f-39dd-4352-8cbc-e701684a770a,Élisabeth,Dumas,edouardlabbe@example.com,0371439832,Brest,50,F,Inactif,2026-03-25
b18cdf2b-8dc4-422a-b47e-a9bba8a2d25e,Sabine,Perez,uperret@example.com,+33 2 96 38 73 84,Nantes,63,F,Standard,2026-08-09
b6d4201e-d306-4f1b-b5e5-93a85e72148a,Patrick,Munoz,plecomte@example.net,+33 (0)5 61 05 92 76,Angers,75,M,Standard,2025-08-12
8dd12d50-9207-42a3-a704-2df973609509,Caroline,Le Gall,sauvagemargaret@example.com,+33 (0)5 47 43 50 01,Paris,36,F,Nouveau,2024-12-23
4c5a05bb-5d66-4135-9400-0adf3a0813b9,Henri,Caron,tgautier@example.org,04 79 30 83 35,Toulouse,44,M,Inactif,2025-09-15
d152dce1-782a-4a8a-834a-06c7bc719bca,Claire,Caron,wolivier@example.org,03 87 36 41 28,Rennes,58,F,Premium,2026-03-22
8c852709-a20e-4f99-805b-ca99a7a0c008,Alphonse,Arnaud,julietteguibert@example.net,+33 4 30 28 12 24,Grenoble,42,M,Fidele,2025-06-02
aceda84f-093e-46dc-bf40-55dca43e6d39,Joseph,Faivre,guichardwilliam@example.org,0547613695,Lyon,19,M,Fidele,2026-02-11
6e0c17d2-b91a-4a68-b378-69d3e6cd2dce,Thibaut,Couturier,edithfischer@example.net,+33 6 57 43 94 58,Toulouse,64,M,Premium,2025-12-01
38ca9deb-bac5-4e74-bd9c-ac77b082d942,Gabriel,Renaud,alfred77@example.com,+33 (0)6 36 67 66 19,Montpellier,23,M,Fidele,2025-03-14
679340af-3555-4642-b310-4aee6563f29a,Richard,Bouchet,legendrexavier@example.org,+33 (0)4 90 08 93 30,Dijon,18,M,Fidele,2026-05-07
4135c9a9-ccf6-496b-b99f-9915251fd710,Margaux,Mendès,diane76@example.com,0359202035,Nice,28,F,Premium,2026-02-24
701ae64e-b339-4f2a-b95a-52284dad2959,Laurence,Marin,samsonmichel@example.org,0352869483,Nice,69,F,Premium,2026-04-15
eb66331b-ef7d-4751-8677-1cf70a286fc7,Noémi,Leclerc,theophile30@example.org,+33 (0)1 78 36 99 77,Nice,62,F,Fidele,2026-09-04
f1dda60f-4433-43e3-98b5-8d61ec559360,Martin,Guillot,elodie38@example.net,0269050289,Rennes,53,M,Fidele,2026-04-18
257e75e9-eeed-4932-a49e-55eb62b28a8c,Capucine,Perrin,theophile83@example.com,04 30 68 24 40,Nice,30,F,Premium,2026-01-01
